,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,단맛,단맛,신맛,청량감,크라,테,로제,와인,맛,그래프,약함,약함,약함,바디감,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,
1,단맛,단맛,신맛,청량감,바디감,선운산,복분자,와인,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,
2,단맛,단맛,신맛,청량감,약함,약함,약함,바디감,가벼움,별,바랑,맛,그래프,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
3,단맛,단맛,신맛,청량감,약함,약함,약함,연천,아주,맛,그래프,강함,가벼움,강함,강함,바디감,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,무거움,,,,
4,향,향,바디감,천년,주,밤,맛,그래프,약함,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,,
5,단맛,단맛,신맛,청량감,바디감,죽향,생,막걸리,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,,,,,,,,
6,한비 동충하초술 맛 그래프,한비,동충하초,술,맛,그래프,약함,향,바디감,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,
7,미인탁주 맛 그래프,미인,탁주,맛,그래프,단맛,신맛,청량감,바디감,가벼움,약함,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
8,백자주 맛 그래프,백,자주,맛,그래프,단맛,신맛,약함,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
9,단맛,단맛,신맛,바디감,목넘김,한산,소곡주,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
10,단맛,단맛,신맛,청량감,바디감,정,고집,나주,쌀,생,막걸리,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,
11,단맛,단맛,신맛,청량감,바디감,입장,탁주,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,NAVER,,,,,,,,,
12,단맛,단맛,신맛,청량감,바디감,이상헌,약주,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,PTAVER,,,,,
13,안동소주일품 21 맛 그래프,안동,소주,일품,21,맛,그래프,향기,약함,맛,바디감,드라이,라이트,강함,스위트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,
14,김천과하주 16% 맛 그래프,김천,과하주,16,%,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,
15,청진주 맛 그래프,청,진주,맛,그래프,단맛,신맛,청량감,바디감,가벼움,약함,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
16,단맛,단맛,신맛,청량감,바디감,매실,막걸리,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,,,
17,향기,향기,맛,바디감,명술,375,맛,그래프,약함,드라이,라이트,강함,스위트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,
18,The 찾을수록 시리즈 맛 그래프,The,찾을,수록,시리즈,맛,그래프,단,맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,
19,단맛,단맛,신맛,청량감,바디감,양촌,생,막걸리,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,
20,계룡산 산삼주 금수강산 40% 맛 그래프,계룡산,산삼주,금수,강산,40,%,맛,그래프,약함,향,바디감,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,
21,단맛,단맛,신맛,지란지교,약주,맛,그래프,균형감,약함,약함,바디감,가벼움,강함,강함,무거움,출처,:,전진,아,.,이재욱,소믈리에,",",NAVER,,,,,,,,,
22,단맛,단맛,신맛,청량감,바디감,청,세주,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
23,금산인삼주 수삼단본720 23% 맛 그래프,금산,인삼주,수삼,단본,720,23,%,맛,그래프,향기,맛,바디감,약함,드라이,라이트,강함,스위트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,
24,단맛,단맛,신맛,청량감,바디감,세종,쌀,막걸리,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,
25,단맛,단맛,신맛,청량감,바디감,해미읍,성,매실,와인,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,
26,지리산허브잎술 맛 그래프,지리산,허브,잎술,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,,
27,단맛,단맛,신맛,청량감,바디감,금,이산,농원,오가피,와인,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,",",NAVER,,,,
28,단맛,단맛,신맛,바디감,목넘김,대통,대잎,술맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
29,단맛,단맛,신맛,청량감,바디감,백운,복분자주,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,,,
30,단맛,단맛,신맛,청량감,바디감,세종대왕,어주,약주,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,
31,녹천 한산소곡주(생) 맛 그래프,녹천,한산,소곡주,(,생,),맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,
