제품명,설명
신선주 약주,충북무형문화재 제4호
52C,세계 최초의 오이 증류주
신선주 증류주,충북무형문화재 제4호
G12 골디락스,무첨가 프리미엄 탁주
지란지교 무화과 탁주,순창 건곡리의 구전비법 누룩과 주방문을 빌어 재현한 술
당당하리,홍마늘의 백리를 듬뿍 담은 지역 특산주
지란지교 탁주,순창 건곡리의 구전비법 누룩과 주방문을 빌어 재현한 술
백이주,마늘의 백리만 듬뿍 담은 지역전통주
지란지교 약주,순창 건곡리의 구전비법 누룩과 주방문을 빌어 재현한 술
배도가 로아 19 레드,한방울 한방울 천천히 내린 흰 빛깔의 이슬
추사백25,예산만의 지역적인 특성과 원료를 살린 사과 증류주
심플리 애플,우리쌀로 빚은 증류식 소주와 사과의 상큼한 만남
"코이버펑크, 머스캣 베일리 에이",자연주의 친환경 고품질 와인
맑은내일 Winery 단감명작,창녕 단감만의 달달한 한 모금
"코이버펑크, 샤르도네 세미용 블렌드",자연주의 친환경 고품질 와인
운암1945,
"코이버펑크, 카베르네 소비뇽",자연주의 친환경 고품질 와인
이도 32,세종대왕의 깊은 뜻을 담은 전통주
신선주 백주,충북무형문화재 제4호
33JU,"7년근 이상의 산양산삼을 3일 동안 고온과 저온 추출하여 3,333시간 숙성한 전통주"
젤코바 캠벨와인,유기농 캠벨포도로 빚은 자연주의 와인
바랑 탁,진한 감칠 맛에 쌀향이 가득 담긴 고순도 수제 탁주
별바랑,내추럴 와인같은 산미와 단맛을 지닌 수제 약주
대작 생막걸리,철원 오대쌀로 빚은 전통 막걸리
모월 인,"어머니와 같은, 달과 같은 넉넉하고 은은한 증류식소주"
모월 로,"어머니와 같은, 달과 같은 넉넉하고 은은한 증류식소주"
모월 청,"어머니와 같은, 달과 같은 넉넉하고 은은한 약주"
모월 연,"어머니와 같은, 달과 같은 넉넉하고 은은한 약주"
젤코바 스페셜와인,산머루로 빚은 경쾌한 느낌의 머루와인
젤코바 프리미엄와인,산머루로 빚은 프리미엄 머루와인
그랑꼬또 화이트와인,한국와인의 명가 그랑꼬또 와이너리에서 빚은 화이트와인
시나브로 화이트와인,나도 모르게 시나브로 반하게 만드는 매력적인 와인
시나브로 에뚜왈 로제 스파클링,나도 모르게 시나브로 반하게 만드는 매력적인 와인
시나브로 로제와인,나도 모르게 시나브로 반하게 만드는 매력적인 와인
포엠 레드 스위트와인,직접 재배한 유기농 포도로 빚은 품질 좋은 한국와인
포엠 레드 드라이와인,직접 재배한 유기농 포도와 머루로 빚은 품질 좋은 한국와인
포엠 로제와인,직접 재배한 유기농 포도로 빚은 품질 좋은 한국와인
포엠 화이트와인,직접 재배한 유기농 포도로 빚은 품질 좋은 한국와인
