,제품명,주종,도수,용량,가격,원재료,제조사
0,가덕순쌀막걸리,탁주,6%,750ml,13500750ml*9병,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",농업회사법인명세주가(주)
1,가을빛레드와인,과실주,14%,750ml,35000,포도(캠벨얼리),예인화원
2,가평잣막걸리,탁주,6%,750ml,1450,"쌀,정제수,쌀입국,잣,효모,정제효소등",가평우리술
3,감보드카,일반증류주,32%,375ml,14000,감(국내산)100%,양촌감영농조합법인
4,감그린레귤러,과실주,12%,750ml,18000,감(국내산),청도감와인(주)
5,감그린스페셜,과실주,12%,750ml,25000,감(국내산),청도감와인(주)
6,감그린아이스와인,과실주,10%,375ml,89000,감(국내산),청도감와인(주)
7,감사,약주,14%,375ml,15000,"쌀(국내산경기미100%),누룩,정제수",술샘
8,감아락25도_500ml,일반증류주,25%,500ml,26000,"감증류원액,쌀(국내산)",(주)배상면주가
9,감악산머루주,과실주,12%,360ml,360ml*4본28000,"국내산산머루원액78.5%,주정",산머루농원영농조합법인
10,감이슬,일반증류주,23%,375ml,10000,감(국내산)100%,양촌감영농조합법인
11,감자술13%,약주,13%,700ml,14000,"백미(국내산),감자(국내산),누룩,효모,정제수",오대서주양조
12,감홍로백자_700ml,일반증류주,40%,700ml,75000,"쌀(70%),조(30%),7가지약재(용안육,계피,진피,정향,생강,감초,지초)",농업회사법인(주)감홍로
13,감홍로청자_700ml,일반증류주,40%,700ml,90000,"쌀(70%),조(30%),8가지약재(용안육,계피,진피,방품,정향,생각,감초,지초)",농업회사법인(주)감홍로
14,강소주,일반증류주,50%,"200ml/1,800ml",110001800ml,"국내산쌀,정제수",내국양조
15,강쇠_370ml,살균약주,13%,370ml,2500,"쌀,누룩,오가피",농업회사법인(유)술소리
16,걍즐겨,탁주,8%,600ml,6000,"찹쌀(국내산),멥살(국내산),누룩,석류,히비스커스,정제수",디오케이브루어리
17,겨울소주25,증류식소주,25%,360ml,10000,"증류원액(국내산쌀),효모,효소,정제수",두이술공방
18,경기전,기타주류,5%,1000ml,270001000ml*3병,"보리(국내산),맥아(국내산),호프펠렛,효모,정제효소제,정제수",농업회사법인동문거리양조장(주)(전주술로시티)
19,계룡백일주12년_600ml,리큐르,40%,600ml,150000,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",계룡백일주
20,계룡백일주16도_700ml*2,약주,16%,700ml*2개,37000,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",계룡백일주
21,계룡백일주30도_400ml*2,리큐르,30%,400ml*2개,40000,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",계룡백일주
22,계룡백일주40도_600ml*2,리큐르,40%,600ml*2개,80000,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",계룡백일주
23,계룡산산삼주금수강산21%,일반증류주,21%,740ml,110000,"산양산삼,정제주,주정",농업회사법인한국산삼(주)
24,계룡산산삼주금수강산40%,일반증류주,40%,740ml,150000,"산양산삼,정제주,주정",농업회사법인한국산삼(주)
25,고구마아락_500ml,증류식소주,40%,500ml,25000,"보리,고구마,정제수",농업회사법인배상면주가고창LB
26,고도리레드와인스위트,과실주,12%,750ml,22000,MBA머루포도(경북영천),고도리와이너리
27,고도리복숭아와인,과실주,6.5%,750ml,32000,복숭아(경북영천),고도리와이너리
28,고도리화이트와인드라이,과실주,10.5%,750ml,22000,거봉포도(경북영천),고도리와이너리
29,고도리화이트와인스위트,과실주,10.5%,750ml,22000,거봉포도(경북영천),고도리와이너리
30,고소리술,소주,40%,375ml,25000,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",제주샘영농조합법인
31,고소리술,소주,40%,700ml,45000,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",제주샘영농조합법인
32,고운달백자,일반증류주,52%,500ml/200ml,360000500ml180000200ml,오미자(문경산),농업회사법인(주)제이엘
33,고운달오크,일반증류주,52%,500ml/200ml,360000500ml180000200ml,오미자(문경산),농업회사법인(주)제이엘
34,고창복분자주300,과실주,13%,300ml,50000300ml*20병,"복분자과실,주정,효모,구연산,정제수",농업회사법인고창선운산(유)
35,고창선운산땡큐블루베리주,과실주,13%,300ml,60000300ml*20병,"블루베리과실,주정,효모,구연산,정제수",농업회사법인고창선운산(유)
36,고창복분자주1800,과실주,15%,"1,800ml",27000,"복분자과실,주정,효모,구연산,정제수",농업회사법인고창선운산(유)
37,공주애오디와인,과실주,15%,375ml,6000,"국내산오디,정제수,주정,과당,효모",농업회사법인사곡양조원
38,구기홍주14,약주,14%,360ml/750ml,360ml10000750ml16000,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수",두이술공방
39,구름을벗삼아,탁주,6%,750ml,1500,"정제수,찹쌀·백미(국내산햅쌀100%),입국등",문경주조
40,귀감,일반증류주,25%,350ml,25000,"감귤과즙(제주산),백설탕,액상효모,스테비올배당체,무수아황산",농업회사법인(주)시트러스
41,그랑꼬또M56,과실주,12%,750ml,21000,포도(캠벨얼리),그린영농조합법인
42,그랑꼬또M5610,과실주,10%,750ml,56000,포도(캠벨얼리),그린영농조합법인
43,그랑꼬또레드와인,과실주,12%,750ml,35000,포도(캠벨얼리),그린영농조합법인
44,그랑꼬또로제와인,과실주,12%,750ml,21000,포도(캠벨얼리),그린영농조합법인
45,그랑꼬또청수_750ml,과실주,12%,750ml,60000,포도(청수),그린영농조합법인
46,그랑꼬또화이트와인,과실주,12%,750ml,40000,포도(캠벨얼리),그린영농조합법인
47,그랑티그르S1974_375ml,과실주,12%,750ml,40000,포도(캠벨얼리100%),월류원
48,그랑티그르CE2002,과실주,12%,750ml,40000,포도(캠벨얼리100%),월류원(오드린)
49,그랑티그르M1988,과실주,12%,750ml,40000,"포도(캠벨얼리),오미자",월류원(오드린)
50,금산인삼주_375ml,약주,12.5%,375ml,12000375ml*3병,"쌀,인삼,누룩,정제수등",농업회사법인(주)금산인삼주
51,수삼단본23도_720ml,일반증류주,23%,720ml,32000,"쌀,인삼,누룩,정제수등",농업회사법인(주)금산인삼주
52,수삼단본43도_720ml,일반증류주,43%,720ml,42000,"쌀,인삼,누룩,정제수등",농업회사법인(주)금산인삼주
53,금정산성막걸리_750ml,탁주,8%,750ml,19000750ml*10병,"백미,밀누룩,정제수,아스파탐",(유)금정산성토산주
54,기다림16,탁주,9%,750ml,11000,"찹쌀(국내산),흑미(국내산),곡자(밀누룩국내산),정제수",농업회사법인(주)제이케이크래프트
55,기다림25,탁주,8%,750ml,9900,"백미(국내산),찹쌀(국내산),곡자(밀누룩국내산),정제수",농업회사법인(주)제이케이크래프트
56,기다림34,탁주,12%,500ml,15000,"멥쌀(국내산),찹쌀(국내산),곡자(밀누룩국내산),정제수",농업회사법인(주)제이케이크래프트
57,기다림맑은술,약주,15%,500ml,25000,"멥쌀(국내산),찹쌀(국내산),곡자(밀누룩국내산),정제수",농업회사법인(주)제이케이크래프트
58,김천과하주16도_700ml,약주,16%,700ml,20000,"찹쌀,누룩,샘물,황국잎",김천과하주
59,김천과하주23도_700ml,기타주류,23%,700ml,22000,"멥쌀,누룩,샘물,황국잎",김천과하주
60,김포막걸리,탁주,6%,750ml,1200,"쌀,누룩,정제수",김포양조
