,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감
0,1000억막걸리프리바이오,,3.0,4.0,3.0,3.0,,
1,1000억유산균막걸리,,3.0,5.0,5.0,3.0,,
2,1932새싹땅콩햅쌀막걸리,,2.0,2.0,3.0,5.0,,
3,1932새싹땅콩흑미막걸리,,3.0,1.0,1.0,4.0,,
4,33JU,4.0,3.0,,,1.0,1.0,
5,52C,4.0,3.0,,,2.0,2.0,
6,가덕순쌀막걸리,,3.0,3.0,3.0,3.0,,
7,가을빛레드와인,,2.0,3.0,3.0,2.0,,
8,가평잣생막걸리,,2.0,2.0,3.0,3.0,,
9,감그린레귤러,,3.0,3.0,3.0,2.0,,
10,감그린스페셜,,3.0,3.0,3.0,3.0,,
11,감그린아이스와인,,4.0,2.0,2.0,4.0,,
12,감보드카,2.0,,,,3.0,4.0,
13,감사,,2.0,2.0,,2.0,4.0,
14,감아락 25,2.0,2.0,,,2.0,,
15,감악산머루주,,4.0,4.0,3.0,3.0,,
16,감이슬,2.0,,,,2.0,2.0,
17,감자술13%,,3.0,2.0,3.0,2.0,,
18,감홍로백자,3.0,3.0,,,4.0,,
19,감홍로청자,3.0,3.0,,,4.0,,
20,강소주,4.0,,,,3.0,2.0,
21,강쇠,,2.0,2.0,1.0,4.0,,
22,걍즐겨,,3.0,4.0,3.0,3.0,,
23,겨울소주25,4.0,,,,4.0,3.0,
24,계룡백일주12년,3.0,3.0,,,4.0,,
25,계룡백일주16%,,1.0,1.0,1.0,1.0,,
26,계룡백일주30%,2.0,2.0,,,3.0,,
27,계룡백일주40%,3.0,3.0,,,3.0,,
28,계룡산산삼주금수강산21%,2.0,,,,2.0,2.0,
29,계룡산산삼주금수강산40%,3.0,,,,3.0,3.0,
30,고구마아락,3.0,2.0,,,3.0,,
31,고도리레드와인스위트,,3.0,3.0,2.0,3.0,,
32,고도리복숭아와인,,4.0,3.0,3.0,2.0,,
33,고도리화이트와인드라이,,2.0,3.0,3.0,2.0,,
34,고도리화이트와인스위트,,4.0,3.0,3.0,2.0,,
35,고소리술,,2.0,0.0,3.0,3.0,,
36,고은달백자,3.0,,,,5.0,4.0,
37,고은달오크,4.0,,,,5.0,3.0,
38,고창선운산땡큐복분자주,,3.0,1.0,3.0,2.0,,
39,고창선운산땡큐블루베리주,,2.0,2.0,2.0,2.0,,
40,고창선운산복분자주특1호,,3.0,1.0,3.0,2.0,,
41,공주애오디와인,,3.0,2.0,3.0,1.0,,
42,구기홍주14,,3.0,1.0,2.0,3.0,,
43,구름을벗삼아,,3.0,3.0,3.0,3.0,,
44,옛날막걸리古,,2.0,2.0,1.0,4.0,,
45,귀감,3.0,,,,3.0,2.0,
46,그랑고또레드와인,,3.0,3.0,3.0,2.0,,
47,그랑꼬또로제와인,,2.0,3.0,1.0,3.0,,
48,그랑꼬또청수,,2.0,1.0,3.0,4.0,,
49,그랑꼬또화이트와인,,3.0,3.0,3.0,2.0,,
50,그랑꼬또M56,,2.0,3.0,1.0,3.0,,
51,그랑꼬또M5610,,4.0,3.0,3.0,2.0,,
52,그랑티그르CE2002,,3.0,2.0,2.0,3.0,,
53,그랑티그르M1988,,3.0,3.0,2.0,3.0,,
54,그랑티그르S1974,,1.0,3.0,2.0,4.0,,
55,금산인삼주,,1.0,4.0,2.0,4.0,,
56,금산인삼주수삼단본72023%,4.0,1.0,,,3.0,,
57,금산인삼주수삼단본72043%,4.0,1.0,,,4.0,,
58,금이산농원복숭아와인,,3.0,2.0,2.0,3.0,,
