,index,제품명,keyword
0,0,1000억막걸리프리바이오, 단맛 신맛 청량감 바디감     탁주 쌀 밀  
1,1,1000억유산균막걸리, 단맛 신맛 청량감 바디감     탁주 쌀 밀  저도수
2,2,1932새싹땅콩햅쌀막걸리,   청량감 바디감     탁주 쌀 땅콩  
3,3,1932새싹땅콩흑미막걸리, 단맛   바디감     탁주 쌀 땅콩  
4,4,33JU,향기 단맛        증류주 꿀 삼  
5,5,52C,향기 단맛        증류주 쌀  
6,6,DMZ240km,    바디감     기타주류 꿀 버섯  
7,7,g12골디락스,    바디감     탁주 쌀 찹쌀 밀  무감미료
8,8,The찾을수록시리즈, 단맛  청량감      과실주 사과  
9,9,가덕순쌀막걸리, 단맛 신맛 청량감 바디감  담백  탄산 탁주 쌀  
10,10,가을빛레드와인,  신맛 청량감      과실주 포도  
11,11,가평잣생막걸리,   청량감 바디감     탁주 쌀  
12,12,감그린레귤러, 단맛 신맛 청량감      과실주  이색전통주
13,13,감그린스페셜, 단맛 신맛 청량감 바디감     과실주  이색전통주
14,14,감그린아이스와인, 단맛   바디감     과실주  이색전통주
15,15,감보드카,    바디감 목넘김    증류주  
16,16,감사,     목넘김 담백   약주/청주 쌀  선물
17,17,감아락25,         증류주 쌀  가을
18,18,감악산머루주, 단맛 신맛 청량감 바디감     과실주 머루  
19,19,감이슬,         증류주  과일류
20,20,감자술13, 단맛  청량감      약주/청주 감자  선물
21,21,감홍로백자,향기 단맛   바디감     증류주 쌀 약재  
22,22,감홍로청자,향기 단맛   바디감     증류주 쌀 약재  
23,23,강소주,향기    바디감     증류주 쌀  소용량
24,24,강쇠,    바디감     약주/청주 쌀 오가피  
25,25,걍즐겨, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  이색전통주
26,26,겨울소주25,향기    바디감 목넘김    증류주  겨울
27,27,경기전,  신맛 청량감      기타주류 보리  탄산
28,28,계룡백일주12년,향기 단맛   바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎  
29,29,계룡백일주16,         약주/청주 쌀 찹쌀 오미자 꽃 솔잎  
30,30,계룡백일주30,    바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎  
31,31,계룡백일주40,향기 단맛   바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎  
32,32,계룡산산삼주금수강산21,         증류주 삼  삼(蔘)류
33,33,계룡산산삼주금수강산40,향기    바디감 목넘김    증류주 삼  삼(蔘)류
34,34,고구마아락,향기    바디감     증류주 보리 고구마  
35,35,고도리레드와인스위트, 단맛 신맛  바디감     과실주 포도 머루  
36,36,고도리복숭아와인, 단맛 신맛 청량감    탄닌감  과실주 복숭아  이색전통주
37,37,고도리화이트와인드라이,  신맛 청량감      과실주 포도  저도수
38,38,고도리화이트와인스위트, 단맛 신맛 청량감      과실주 포도  저도수
39,39,고소리술,   청량감 바디감     증류주 쌀  선물
40,40,고운달백자,향기    바디감 목넘김    증류주 오미자  선물
41,41,고운달오크,향기    바디감 목넘김    증류주 오미자  선물
42,42,고창선운산땡큐복분자주, 단맛  청량감      과실주 복분자  소용량
43,43,고창선운산땡큐블루베리주,         과실주 베리  소용량
44,44,고창선운산복분자주특1호, 단맛  청량감      과실주 복분자  
45,45,공주애오디와인, 단맛  청량감      과실주 오디  
46,46,구기홍주14, 단맛   바디감  담백   약주/청주 쌀 구기자  선물
47,47,구름을벗삼아, 단맛 신맛 청량감 바디감    탄산 탁주 쌀 찹쌀  무감미료
48,48,귀감,향기    바디감     증류주 귤  과일류
49,49,그랑꼬또레드와인, 단맛 신맛 청량감      과실주 포도  
50,50,그랑꼬또M56,  신맛  바디감     과실주 포도  홈술
51,51,그랑꼬또M5610, 단맛 신맛 청량감      과실주 포도  
52,52,그랑꼬또로제와인,  신맛  바디감     과실주 포도  홈술
53,53,그랑꼬또청수,   청량감 바디감     과실주 포도  파티
54,54,그랑꼬또화이트와인, 단맛 신맛 청량감      과실주 포도  
55,55,그랑티그르CE2002, 단맛   바디감     과실주 포도  
56,56,그랑티그르M1988, 단맛 신맛  바디감     과실주 포도 오미자  
57,57,그랑티그르S1974,  신맛  바디감     과실주 포도  
58,58,금산인삼주,  신맛  바디감     약주/청주 쌀 삼  
59,59,금산인삼주수삼단본23,향기    바디감     증류주 쌀 삼  
60,60,금산인삼주수삼단본43,향기    바디감     증류주 쌀 삼  삼(蔘)류
61,61,금이산농원복숭아와인, 단맛   바디감   탄닌감  과실주 복숭아  
62,62,금이산농원사과와인, 단맛   바디감     과실주 사과  
63,63,금이산농원오가피와인, 단맛   바디감     과실주 오가피  이색전통주
64,64,금정산성막걸리,  신맛  바디감     탁주 밀  홈술
65,65,기다림16,  신맛  바디감     탁주 쌀 찹쌀  무감미료
66,66,기다림25,  신맛       탁주 쌀 찹쌀  무감미료
67,67,기다림34, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  무감미료
68,68,기다림맑은술, 단맛 신맛 청량감 바디감     약주/청주 쌀 찹쌀  홈술
69,69,김천과하주16,         약주/청주 쌀 찹쌀  
70,70,김천과하주23,         기타주류 쌀  고문헌
71,71,김포막걸리,   청량감      탁주 쌀  
72,72,김포별주, 단맛   바디감     약주/청주 쌀  
73,73,김포약주,         약주/청주 밀  저도수
74,74,김포예주,    바디감     약주/청주 쌀  
75,75,김포특주, 단맛 신맛    담백   약주/청주 쌀  
76,76,까메오막걸리, 단맛   바디감     탁주 쌀  혼술
77,77,나루생막걸리11.5, 단맛   바디감     탁주 쌀  파티
78,78,나루생막걸리6, 단맛 신맛       탁주 쌀  파티
79,79,남산애레드와인, 단맛 신맛 청량감      과실주 포도  
80,80,남산애포트와인, 단맛 신맛  바디감     과실주 포도  
81,81,내장산복분자주,  신맛   목넘김    과실주 복분자  
82,82,녹고의눈물,    바디감     기타주류 오가피  
83,83,녹천소곡화주,향기    바디감     기타주류 쌀 찹쌀  
84,84,녹천한산소곡주살균, 단맛        약주/청주 쌀 찹쌀  
85,85,녹천한산소곡주생, 단맛        약주/청주 쌀 찹쌀  
86,86,녹파주, 단맛   바디감  담백   약주/청주 쌀 찹쌀  선물
87,87,뉴트로, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  
88,88,느린마을막걸리, 단맛  청량감      탁주 쌀  무감미료
89,89,능이주,  신맛    담백   약주/청주 쌀  홈술
90,90,니모메,      담백   약주/청주 쌀 귤  파티
91,91,다래와인3004,         과실주 다래  저도수
92,92,다래와인7004D,  신맛       과실주 다래  
93,93,다래와인7004S,    바디감     과실주 다래  저도수
94,94,다랭이팜생막걸리,  신맛 청량감 바디감     탁주 쌀  무감미료
95,95,다랭이팜생막걸리흑미,  신맛       탁주  
96,96,다랭이팜유자막걸리,  신맛  바디감     탁주  
97,97,담솔, 단맛  청량감 바디감     기타주류 쌀  
98,98,담양죽력고,향기    바디감 목넘김    증류주 쌀 생강 계피  고문헌
99,99,담은, 단맛   바디감     탁주 쌀  선물
100,100,당당하리, 단맛        과실주 쌀 복분자 사과 밀 감초  베리류
101,101,대관령복분자주,    바디감     과실주 복분자  
102,102,대대포생막걸리,   청량감      탁주 꿀  선물
103,103,대윤가야곡왕주,    바디감     약주/청주 쌀  홈술
104,104,대잎생동동주,   청량감      탁주 쌀  
105,105,대작생막걸리, 단맛 신맛 청량감 바디감     탁주 쌀  
106,106,대통대잎술,     목넘김    약주/청주 쌀 구기자 솔잎  파티
107,107,도구막걸리,   청량감 바디감     탁주 쌀 밀  
108,108,도깨비술11, 단맛 신맛 청량감 바디감     탁주 쌀  파티
109,109,도깨비술7, 단맛 신맛 청량감 바디감     탁주 쌀  파티
110,110,도깨비술9, 단맛 신맛 청량감 바디감     탁주 쌀  파티
111,111,도로시머루주, 단맛 신맛 청량감 바디감     과실주 머루  선물
112,112,도문대작생막걸리,  신맛 청량감      탁주 쌀  
113,113,독산53,    바디감 목넘김    증류주 쌀  소용량
114,114,동강더덕주,향기 단맛        기타주류 구기자 감초  
115,115,동몽,  신맛  바디감  담백   약주/청주 쌀  명절
116,116,동정춘, 단맛 신맛  바디감     탁주 쌀  고문헌
117,117,동정춘막걸리산정호수, 단맛  청량감 바디감     탁주 쌀  선물
118,118,동학1957, 단맛 신맛  바디감  담백   약주/청주 쌀  선물
119,119,동해동동주,   청량감      탁주 쌀  무감미료
