index,제품명,keyword
0,1000억막걸리프리바이오,탁주 쌀 밀
1,1000억유산균막걸리,탁주 쌀 밀 저도수
2,1932새싹땅콩햅쌀막걸리,탁주 쌀 땅콩
3,1932새싹땅콩흑미막걸리,탁주 쌀 땅콩
4,33JU,향기 증류주 꿀 삼
5,52C,향기 증류주 쌀
6,DMZ240km,기타주류 꿀 버섯
7,g12골디락스,탁주 쌀 찹쌀 밀 무감미료
8,The찾을수록시리즈,과실주 사과
9,가덕순쌀막걸리,담백 탄산 탁주 쌀
10,가을빛레드와인,과실주 포도
11,가평잣생막걸리,탁주 쌀
12,감그린레귤러,과실주 이색전통주
13,감그린스페셜,과실주 이색전통주
14,감그린아이스와인,과실주 이색전통주
15,감보드카,목넘김 증류주
16,감사,목넘김 담백 약주/청주 쌀 선물
17,감아락25,증류주 쌀 가을
18,감악산머루주,과실주 머루
19,감이슬,증류주 과일류
20,감자술13,약주/청주 감자 선물
21,감홍로백자,향기 증류주 쌀 약재
22,감홍로청자,향기 증류주 쌀 약재
23,강소주,향기 증류주 쌀 소용량
24,강쇠,약주/청주 쌀 오가피
25,걍즐겨,탁주 쌀 찹쌀 이색전통주
26,겨울소주25,향기 목넘김 증류주 겨울
27,경기전,기타주류 보리 탄산
28,계룡백일주12년,향기 기타주류 쌀 찹쌀 오미자 꽃 솔잎
29,계룡백일주16,약주/청주 쌀 찹쌀 오미자 꽃 솔잎
30,계룡백일주30,기타주류 쌀 찹쌀 오미자 꽃 솔잎
31,계룡백일주40,향기 기타주류 쌀 찹쌀 오미자 꽃 솔잎
32,계룡산산삼주금수강산21,증류주 삼 삼(蔘)류
33,계룡산산삼주금수강산40,향기 목넘김 증류주 삼 삼(蔘)류
34,고구마아락,향기 증류주 보리 고구마
35,고도리레드와인스위트,과실주 포도 머루
36,고도리복숭아와인,탄닌감 과실주 복숭아 이색전통주
37,고도리화이트와인드라이,과실주 포도 저도수
38,고도리화이트와인스위트,과실주 포도 저도수
39,고소리술,증류주 쌀 선물
40,고운달백자,향기 목넘김 증류주 오미자 선물
41,고운달오크,향기 목넘김 증류주 오미자 선물
42,고창선운산땡큐복분자주,과실주 복분자 소용량
43,고창선운산땡큐블루베리주,과실주 베리 소용량
44,고창선운산복분자주특1호,과실주 복분자
45,공주애오디와인,과실주 오디
46,구기홍주14,담백 약주/청주 쌀 구기자 선물
47,구름을벗삼아,탄산 탁주 쌀 찹쌀 무감미료
48,귀감,향기 증류주 귤 과일류
49,그랑꼬또레드와인,과실주 포도
50,그랑꼬또M56,과실주 포도 홈술
51,그랑꼬또M5610,과실주 포도
52,그랑꼬또로제와인,과실주 포도 홈술
53,그랑꼬또청수,과실주 포도 파티
54,그랑꼬또화이트와인,과실주 포도
55,그랑티그르CE2002,과실주 포도
56,그랑티그르M1988,과실주 포도 오미자
