index,제품명,단맛,신맛,청량감,바디감,도수,용량,가격,keyword,제조사,원재료
0,1000억막걸리프리바이오,3.0,4.0,3.0,3.0,5.0,750ml,3500,탁주 쌀 밀  저도수,(주)국순당,"쌀,밀,누룩,정제수"
1,1000억유산균막걸리,3.0,5.0,5.0,3.0,5.0,750ml,3200,탁주 쌀 밀  저도수,(주)국순당,"쌀,밀,누룩,정제수"
2,1932새싹땅콩햅쌀막걸리,2.0,2.0,3.0,5.0,6.0,900ml,15000,탁주 쌀 땅콩  저도수,(주)1932포천일동막걸리,"쌀,땅콩농축액,입국,효모,고과당,정제효소제,정제수"
3,1932새싹땅콩흑미막걸리,3.0,1.0,1.0,4.0,6.0,900ml,15000,탁주 쌀 땅콩  저도수,(주)1932포천일동막걸리,"쌀,흑미,땅콩농축액,입국,효모,고과당,정제효소제,정제수"
4,33JU,3.0,2.2,2.0,1.0,18.0,200ml,23000,향기 증류주 꿀 삼 ,농업회사법인33가주식회사,"산양산삼,주정,결정과당,효소처리스테비아,에리스리톨,호박산,꿀"
5,52C,3.0,2.4,2.2,2.0,17.5,500ml,10000,향기 증류주 쌀 ,농업회사법인(주)청산녹수,"정제수,주정,쌀증류식소주원액,오이"
6,DMZ240km,2.0,0.6,1.8,3.0,25.0,450ml,10000,기타주류 꿀 버섯 ,솔래원,"자연송이버섯,브랜디원액,블랙커런트,벌꿀"
7,g12골디락스,2.0,2.0,2.0,3.0,12.0,500ml,12000,탁주 쌀 찹쌀 밀 무감미료  저도수,농업회사법인(주)청산녹수,"정제수,멥쌀,찹쌀,누룩,종국,효모,밀함유"
8,The찾을수록시리즈,4.0,2.0,3.0,2.0,16.0,360ml,9000,과실주 사과 ,(주)한국애플리즈,"사과와인,정제수,정제주정외제품별농축액"
9,가덕순쌀막걸리,3.0,3.0,3.0,3.0,6.0,750ml,13500,담백 탄산 탁주 쌀 혼술 저도수,농업회사법인명세주가(주),"국내산쌀,효모,조효소재,물엿,아스파탐,정제수"
10,가을빛레드와인,2.0,3.0,3.0,2.0,14.0,750ml,35000,과실주 포도  저도수,예인화원,포도
