index,제품명,keywords
0,1000억막걸리프리바이오,탁주 쌀 밀  저도수 
1,1000억유산균막걸리,탁주 쌀 밀  저도수 
2,1932새싹땅콩햅쌀막걸리,탁주 쌀 땅콩  저도수 
3,1932새싹땅콩흑미막걸리,탁주 쌀 땅콩  저도수 
4,33JU,향기 증류주 꿀 삼  
5,52C,향기 증류주 쌀  
6,DMZ240km,기타주류 꿀 버섯  
7,g12골디락스,탁주 쌀 찹쌀 밀 무감미료  저도수 
8,The찾을수록시리즈,과실주 사과  
9,가덕순쌀막걸리,담백 탄산 탁주 쌀 혼술 저도수 혼술
10,가을빛레드와인,과실주 포도  저도수 
11,가평잣생막걸리,탁주 쌀  저도수 
12,감그린레귤러,과실주 이색전통주  저도수 
13,감그린스페셜,과실주 이색전통주  저도수 
14,감그린아이스와인,과실주 이색전통주  저도수 
15,감보드카,목넘김 증류주  
16,감사,목넘김 담백 약주/청주 쌀 선물 선물 추천 저도수 선물 추천
17,감아락25,증류주 쌀 가을  
18,감악산머루주,과실주 머루  저도수 
19,감이슬,증류주 과일류  
20,감자술13,약주/청주 감자 선물 커플 반주 안주 선물 파티 가족 저도수 커플 반주 안주 선물 파티 가족
21,감홍로백자,향기 증류주 쌀 약재 커플 친구 명절 부모님 안주 선물 기념일 추천 가족 행사 커플 친구 명절 부모님 안주 선물 기념일 추천 가족 행사
22,감홍로청자,향기 증류주 쌀 약재  
23,강소주,향기 증류주 쌀 소용량  
24,강쇠,약주/청주 쌀 오가피 선물 명절 친구 추천 저도수 선물 명절 친구 추천
25,걍즐겨,탁주 쌀 찹쌀 이색전통주  저도수 
26,겨울소주25,향기 목넘김 증류주 겨울 커플 디저트 친구 캠핑 명절 반주 안주 부모님 선물 추천 파티 가족 크리스마스 혼술 계절 커플 디저트 친구 캠핑 명절 반주 안주 부모님 선물 추천 파티 가족 크리스마스 혼술 계절
27,경기전,기타주류 보리 탄산  저도수 
28,계룡백일주12년,향기 기타주류 쌀 찹쌀 오미자 꽃 솔잎  
29,계룡백일주16,약주/청주 쌀 찹쌀 오미자 꽃 솔잎  
30,계룡백일주30,기타주류 쌀 찹쌀 오미자 꽃 솔잎  
31,계룡백일주40,향기 기타주류 쌀 찹쌀 오미자 꽃 솔잎  
32,계룡산산삼주금수강산21,증류주 삼 삼(蔘)류  
33,계룡산산삼주금수강산40,향기 목넘김 증류주 삼 삼(蔘)류  
34,고구마아락,향기 증류주 보리 고구마  
35,고도리레드와인스위트,과실주 포도 머루  저도수 
36,고도리복숭아와인,탄닌감 과실주 복숭아 이색전통주 커플 디저트 친구 명절 반주 안주 부모님 선물 기념일 파티 추천 혼술 계절 저도수 커플 디저트 친구 명절 반주 안주 부모님 선물 기념일 파티 추천 혼술 계절
37,고도리화이트와인드라이,과실주 포도  저도수 
38,고도리화이트와인스위트,과실주 포도 커플 디저트 친구 부모님 선물 추천 파티 크리스마스 저도수 커플 디저트 친구 부모님 선물 추천 파티 크리스마스
39,고소리술,증류주 쌀 선물 친구 명절 반주 안주 선물 가족 크리스마스 친구 명절 반주 안주 선물 가족 크리스마스
40,고운달백자,향기 목넘김 증류주 오미자 선물 선물 파티 선물 파티
41,고운달오크,향기 목넘김 증류주 오미자 선물 선물 부모님 선물 부모님
42,고창선운산땡큐복분자주,과실주 복분자 소용량  저도수 
