index,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감,담백,매운맛,씁쓸,탄닌감,탄산
0,1000억막걸리프리바이오,,3.0,4.0,3.0,3.0,,,,,,,
1,1000억유산균막걸리,,3.0,5.0,5.0,3.0,,,,,,,
2,1932새싹땅콩햅쌀막걸리,,2.0,2.0,3.0,5.0,,,,,,,
3,1932새싹땅콩흑미막걸리,,3.0,1.0,1.0,4.0,,,,,,,
4,33JU,4.0,3.0,,,1.0,1.0,,,,,,
5,52C,4.0,3.0,,,2.0,2.0,,,,,,
6,DMZ240km,1.0,2.0,,,3.0,,,,,,,
7,g12골디락스,,2.0,2.0,2.0,3.0,,3.0,,,,,
8,The찾을수록시리즈,,4.0,2.0,3.0,2.0,,,,,,,
9,가덕순쌀막걸리,,3.0,3.0,3.0,3.0,,,4.0,,,,1.0
10,가을빛레드와인,,2.0,3.0,3.0,2.0,,,,,,,
11,가평잣생막걸리,,2.0,2.0,3.0,3.0,,,,,,,
12,감그린레귤러,,3.0,3.0,3.0,2.0,,,,,,,
13,감그린스페셜,,3.0,3.0,3.0,3.0,,,,,,,
14,감그린아이스와인,,4.0,2.0,2.0,4.0,,,,,,,
15,감보드카,2.0,,,,3.0,4.0,,,,,,
16,감사,,2.0,2.0,,2.0,4.0,,3.0,,3.0,,
17,감아락25,2.0,2.0,,,2.0,,,,,,,
18,감악산머루주,,4.0,4.0,3.0,3.0,,,,,,,
19,감이슬,2.0,,,,2.0,2.0,,,,,,
20,감자술13,,3.0,2.0,3.0,2.0,,,,,,,
21,감홍로백자,3.0,3.0,,,4.0,,,,,,,
22,감홍로청자,3.0,3.0,,,4.0,,,,,,,
23,강소주,4.0,,,,3.0,2.0,,,,,,
24,강쇠,,2.0,2.0,1.0,4.0,,,,,,,
25,걍즐겨,,3.0,4.0,3.0,3.0,,,,,,,
26,겨울소주25,4.0,,,,4.0,3.0,,,2.0,,,
27,경기전,,2.0,3.0,4.0,2.0,,,,,,,
28,계룡백일주12년,3.0,3.0,,,4.0,,,,,,,
29,계룡백일주16,,1.0,1.0,1.0,1.0,,,,,,,
30,계룡백일주30,2.0,2.0,,,3.0,,,,,,,
31,계룡백일주40,3.0,3.0,,,3.0,,,,,,,
32,계룡산산삼주금수강산21,2.0,,,,2.0,2.0,,,,,,
33,계룡산산삼주금수강산40,3.0,,,,3.0,3.0,,,,,,
34,고구마아락,3.0,2.0,,,3.0,,,,,,,
35,고도리레드와인스위트,,3.0,3.0,2.0,3.0,,,,,,,
36,고도리복숭아와인,,4.0,3.0,3.0,2.0,,,,,,2.0,0.0
37,고도리화이트와인드라이,,2.0,3.0,3.0,2.0,,,,,,,
38,고도리화이트와인스위트,,4.0,3.0,3.0,2.0,,,,,,0.0,0.0
39,고소리술,,2.0,0.0,3.0,3.0,,,,4.0,,,
40,고운달백자,3.0,,,,5.0,4.0,,,3.0,,,
41,고운달오크,4.0,,,,5.0,3.0,,,3.0,,,
42,고창선운산땡큐복분자주,,3.0,1.0,3.0,2.0,,,,,,,
43,고창선운산땡큐블루베리주,,2.0,2.0,2.0,2.0,,,,,,,
44,고창선운산복분자주특1호,,3.0,1.0,3.0,2.0,,,,,,,
45,공주애오디와인,,3.0,2.0,3.0,1.0,,,,,,,
46,구기홍주14,,3.0,1.0,2.0,3.0,,,3.0,,3.0,,
47,구름을벗삼아,,3.0,3.0,3.0,3.0,,,2.0,,,,1.0
48,귀감,3.0,,,,3.0,2.0,,,,,,
