page,name,food1,food2,food3
60,그리움,산적 꼬치,소고기 국밥,조기구이
64,면천 두견주 [2병/4병],화전,두부,월남쌈
65,감사,두부구이,버섯 전골,육회
66,술샘16,막국수,과일치즈,연어샐러드
67,미르 25%,조개탕,삼겹살,돼지껍데기
70,서울의 밤,샤브샤브,광어회,주꾸미 볶음
72,삼양춘 탁주,해물 라면,코다리찜,해물 파전
75,술취한 원숭이 X 4병,떡갈비,불고기,양념 치킨
76,홍삼명주,닭볶음탕,녹두전,삼계탕
77,매실원주,골뱅이 소면 무침,카프레제,냉채 족발
80,추사 블루 스위트,피칸 파이,까르보나라,블루베리 파이
81,추사 40%,육포,견과류,크래커
82,추사 애플 와인,육회,불고기,찜닭
83,술예쁘다,복숭아,김치말이국수,갈비찜
84,술그리다,김치전,백반,감자전
85,천비향 화주,굴비,곱창전골,홍어 삼합
86,천비향 생주,닭볶음탕,비빔밥,두부부침
87,천비향 약주,소고기 안심,찜닭,비빔면
88,택이 X 2병,수육,김치전,백반
89,문경바람 오크 40%,육포,견과류,초콜릿
90,문경바람 백자 40%,삼겹살,곱창,고등어 회
92,고운달 백자 (세트포장),과일,견과류,초콜릿
93,솔송주,배추전,문어 숙회,전복간장조림
94,고운달 오크 (세트포장),과일,견과류,초콜릿
95,담솔,두부전골,돼지갈비 찜,대구지리탕
96,허니문 와인,산적 꼬치,마카롱,쉬폰 케이크
97,오미로제 결,연어샐러드,생선회,더덕구이
98,허니비 와인,약과,핑거푸드,다식
100,오미로제 프리미어,버섯구이,소고기 등심구이,더덕구이
103,술아 매화주,약과,산적 꼬치,돼지고기 김치찜
105,술아 연화주,약과,산적 꼬치,돼지고기 김치찜
106,우리술 오늘 약주,닭발,아구찜,약과
110,애피소드 상그리아 X 6병,과일치즈,크래커,쉬폰 케이크
111,술아 순곡주,돼지갈비 찜,참치회,어묵전골
112,애피소드 애플 X 6병,과일,크래커,햄버거
113,한스오차드,제육 볶음,연어초밥,리코타치즈
115,이도 22%,시래기장국,올갱이국,된장찌개
116,청명주 약주 17%,매운탕,고등어 김치찜,어죽
117,우도 땅콩 전통주 [6병/12병/20병],아구찜,성게보말국,해물찜
118,세인트하우스 딸기 와인 (드라이),치즈,바비큐 폭립,불고기
119,조은술 세종 바나나  [6병/12병/20병],바나나,감자전,카스테라
120,세인트하우스 가시오가피 와인,과일치즈,제육 볶음,육회
121,세인트하우스 모과 와인,과일치즈,문어 숙회,생선회
122,세인트하우스 오미자 와인,소고기 안심,피자,닭가슴살
123,세인트하우스 아로니아 와인,소고기 안심,삼겹살,목살 스테이크
124,괴산 세종 찰옥수수 [6병/12병/20병],오징어 땅콩,바닐라 아이스크림,두부부침
125,고소리술 29%,수육,문어 숙회,두부김치
126,세종 알밤주 [6병/12병/20병],소 불고기,군만두,중국식 냉채
128,펀치 쌀 바나나 X 6병,낙지 볶음,김치전,과일 파르페
129,오메기술 13% 2병 세트,치즈,흑돼지 삼겹살,생선회
130,니모메,동파육,보쌈,초밥
131,부안 참뽕 와인,블루베리 치즈 케이크,장어구이,떡볶이
133,담은 [3병/6병/10병],닭볶음탕,돼지고기 김치찜,떡볶이
135,복순도가 손 막걸리 X 3병,수육,짜장면,해물 파전
138,오희,조개탕,바지락 칼국수,딸기
139,오미자 생 막걸리 X 10병,수육,계란말이,육전
140,문희,수육,순대 볶음,닭갈비
141,구름을 벗삼아 [10병/12병],닭볶음탕,낙지 볶음,감자전
142,문희 오미자 가향주,아구찜,스테이크,주꾸미 볶음
144,백년향,닭볶음탕,갈비찜,주꾸미 볶음
145,맑은 문희주,소고기 안심,차돌박이 숙주 볶음,생선회
147,술아 국화주,약과,산적 꼬치,돼지고기 김치찜
148,우렁이쌀 청주,수육,매운탕,순대
151,삼양춘 약주,두부구이,꼬막 무침,문어 숙회
153,붉은 원숭이,견과류,치즈 케이크,크래커
162,문배술 40%,동파육,홍어 무침,중국식 냉채
