index,제품명,page,food1,food2,food3
9,가덕순쌀막걸리,315,육전,해물 파전,감자전
16,감사,65,두부구이,버섯 전골,육회
26,겨울소주25,202,매운탕,삼겹살,오돌뼈
36,고도리복숭아와인,190,연어샐러드,리코타치즈,마들렌
38,고도리화이트와인스위트,193,조개구이,닭가슴살,흰살생선회
39,고소리술,1020,삼겹살,곱창,돼지고기 김치찜
40,고운달백자,92,과일,견과류,초콜릿
41,고운달오크,94,과일,견과류,초콜릿
46,구기홍주14,200,두부과자,약과,땅콩
47,구름을벗삼아,141,닭볶음탕,낙지 볶음,감자전
53,그랑꼬또청수,1134,게살 볶음밥,봉골레 파스타,굴 튀김
58,금산인삼주,354,두부김치,감자조림,간장 불고기
59,금산인삼주수삼단본23,340,연포탕,삼계탕,장어구이
60,금산인삼주수삼단본43,1275,연포탕,삼계탕,계란찜
61,금이산농원복숭아와인,352,롤 케이크,마들렌,광어회
75,김포특주,286,간장 게장,감자탕,시금치 무침
77,나루생막걸리11.5,320,튀김,생크림 케이크,고기 만두
78,나루생막걸리6,279,육포,크래커,햄
86,녹파주,313,연잎밥,쑥전,문어 숙회
89,능이주,304,막창,시래기 무침,족발
90,니모메,130,동파육,보쌈,초밥
97,담솔,95,두부전골,돼지갈비 찜,대구지리탕
99,담은,133,닭볶음탕,돼지고기 김치찜,떡볶이
113,독산53,244,육포,연포탕,흰살생선회
115,동몽,350,연어 스테이크,오리 구이,두부부침
118,동학1957,1241,들깨수제비,궁중 떡볶이,된장찌개
120,두레앙22,1112,바지락 술찜,순대,불고기 샐러드
123,두레앙증류주,1113,육포,샤브샤브,안심 스테이크
126,라이스퐁당13,1238,백합조개탕,초계국수,물회
130,려25,345,조개구이,육회,홍어 무침
131,려고구마증류소주25,357,불고기,두부김치,감자조림
132,려고구마증류소주40,358,동파육,곱창,족발
136,마주소곡주,1225,버섯 전골,쑥전,미나리 삼겹살
138,막시모40,1107,곱창,다크 초콜릿,훈제오리 샐러드
139,만강에비친달,1118,오리 고기,불고기,찹스테이크
140,맑은내일Winery단감명작,1236,바지락 술찜,크림 새우,연어 스테이크
142,맑은내일우포,1178,양념 치킨,간장 불고기,고구마 맛탕
143,맑은문희주,145,소고기 안심,차돌박이 숙주 볶음,생선회
147,매실향기담은술,339,방어회,감자전,탕수육
153,면천두견주,64,화전,두부,월남쌈
162,모월로,1128,닭발,삼겹살,육회
164,모월인,1122,닭 안심 스테이크,숯불 돼지구이,알탕
170,문경바람백자25,1019,과일 샐러드,리코타치즈,견과류
171,문경바람백자40,90,삼겹살,곱창,고등어 회
172,문경바람오크,89,육포,견과류,초콜릿
173,문경주조오미자생막걸리,139,수육,계란말이,육전
175,문배술헤리티지25,1055,양꼬치,간장 불고기,삼치구이
176,문배술헤리티지40,162,동파육,홍어 무침,중국식 냉채
177,문희문경오미자수제전통주,142,아구찜,스테이크,주꾸미 볶음
178,문희햇찹쌀수제전통주,140,수육,순대 볶음,닭갈비
179,미르25,67,조개탕,삼겹살,돼지껍데기
180,미르40,1016,밀푀유나베,만두 전골,도미회
187,바랑탁,189,족발,불고기,주꾸미 볶음
194,백년향,144,닭볶음탕,갈비찜,주꾸미 볶음
195,백련맑은술,1219,떡갈비,된장찌개,누룽지탕
196,백련생막걸리Misty,1093,순대 볶음,감자전,갈비찜
208,별바랑,188,밀푀유나베,산낙지,족발
211,병영설성사또,182,삼겹살,명란젓,장어구이
212,병영소주,181,삼겹살,명란젓,장어구이
