page,name,label1,label2,label3,label4,label5,text1,text2,text3,text4,text5
60,그리움,단맛,산미,씁쓸,바디감,담백,매우약함,중간,강함,중간,중간
64,면천 두견주 [2병/4병],단맛,산미,씁쓸,바디감,담백,약함,약함,중간,강함,약함
65,감사,단맛,산미,씁쓸,바디감,담백,강함,중간,중간,약함,중간
66,술샘16,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,강함,약함,중간
67,미르 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,중간,중간,중간
70,서울의 밤,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,중간,약함,중간
72,삼양춘 탁주,단맛,산미,담백,바디감,탄산,중간,약함,중간,강함,없음
75,술취한 원숭이 X 4병,단맛,산미,담백,바디감,탄산,중간,약함,강함,강함,없음
76,홍삼명주,단맛,산미,씁쓸,바디감,담백,약함,강함,강함,약함,중간
77,매실원주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,강함,약함,약함
80,추사 블루 스위트,단맛,산미,탄닌감,바디감,탄산,중간,약함,약함,약함,없음
81,추사 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,중간
82,추사 애플 와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,매우약함,중간,없음
83,술예쁘다,단맛,산미,담백,바디감,탄산,강함,중간,약함,중간,없음
84,술그리다,단맛,산미,담백,바디감,0,중간,중간,중간,약함,0
85,천비향 화주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우강함,약함,강함,약함,중간
86,천비향 생주,단맛,산미,담백,바디감,탄산,강함,약함,매우약함,강함,없음
87,천비향 약주,단맛,산미,씁쓸,바디감,담백,매우강함,중간,약함,강함,매우약함
88,택이 X 2병,단맛,산미,담백,바디감,탄산,강함,중간,중간,중간,없음
89,문경바람 오크 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,중간,강함
90,문경바람 백자 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,중간,중간
92,고운달 백자 (세트포장),고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,매우강함,강함,중간
93,솔송주,단맛,산미,씁쓸,바디감,담백,약함,약함,약함,약함,강함
94,고운달 오크 (세트포장),고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,매우강함,강함,중간
95,담솔,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,약함,약함
96,허니문 와인,단맛,산미,탄닌감,바디감,탄산,중간,약함,매우약함,약함,없음
97,오미로제 결,단맛,산미,탄닌감,바디감,탄산,중간,중간,약함,중간,중간
98,허니비 와인,단맛,산미,탄닌감,바디감,탄산,강함,약함,매우약함,약함,없음
100,오미로제 프리미어,단맛,산미,탄닌감,바디감,탄산,약함,강함,강함,약함,없음
103,술아 매화주,단맛,산미,씁쓸,바디감,담백,강함,강함,약함,강함,약함
105,술아 연화주,단맛,산미,씁쓸,바디감,담백,강함,약함,매우약함,중간,약함
106,우리술 오늘 약주,단맛,산미,씁쓸,바디감,담백,매우강함,중간,매우약함,중간,매우약함
110,애피소드 상그리아 X 6병,단맛,산미,탄닌감,바디감,탄산,중간,중간,약함,중간,약함
111,술아 순곡주,단맛,산미,씁쓸,바디감,담백,강함,약함,매우약함,중간,약함
112,애피소드 애플 X 6병,단맛,산미,탄닌감,바디감,탄산,중간,중간,매우약함,약함,약함
113,한스오차드,단맛,산미,탄닌감,바디감,탄산,강함,중간,매우약함,중간,없음
115,이도 22%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,매우약함,중간,중간,중간
116,청명주 약주 17%,단맛,산미,씁쓸,바디감,담백,강함,강함,약함,중간,중간
117,우도 땅콩 전통주 [6병/12병/20병],단맛,산미,담백,바디감,탄산,중간,중간,중간,중간,없음
118,세인트하우스 딸기 와인 (드라이),단맛,산미,탄닌감,바디감,탄산,약함,중간,중간,중간,없음
119,조은술 세종 바나나  [6병/12병/20병],단맛,산미,담백,바디감,탄산,강함,매우약함,중간,약함,없음
120,세인트하우스 가시오가피 와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,중간,없음
121,세인트하우스 모과 와인,단맛,산미,탄닌감,바디감,탄산,강함,강함,중간,약함,없음
122,세인트하우스 오미자 와인,단맛,산미,탄닌감,바디감,탄산,약함,중간,매우강함,약함,없음
123,세인트하우스 아로니아 와인,단맛,산미,탄닌감,바디감,탄산,약함,중간,매우강함,약함,없음
124,괴산 세종 찰옥수수 [6병/12병/20병],단맛,산미,담백,바디감,탄산,중간,약함,중간,강함,약함
125,고소리술 29%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,강함,중간
126,세종 알밤주 [6병/12병/20병],단맛,산미,담백,바디감,탄산,강함,약함,중간,중간,없음
128,펀치 쌀 바나나 X 6병,단맛,산미,담백,바디감,탄산,강함,약함,약함,약함,중간
129,오메기술 13% 2병 세트,단맛,산미,씁쓸,바디감,담백,중간,약함,약함,중간,중간
130,니모메,단맛,산미,씁쓸,바디감,담백,강함,약함,강함,약함,중간
131,부안 참뽕 와인,단맛,산미,탄닌감,바디감,탄산,강함,약함,약함,중간,없음
133,담은 [3병/6병/10병],단맛,산미,담백,바디감,탄산,강함,매우약함,약함,약함,없음
135,복순도가 손 막걸리 X 3병,단맛,산미,담백,바디감,탄산,강함,강함,약함,약함,매우강함
138,오희,단맛,산미,담백,바디감,탄산,강함,강함,중간,약함,매우강함
139,오미자 생 막걸리 X 10병,단맛,산미,담백,바디감,탄산,중간,중간,중간,약함,중간
140,문희,단맛,산미,담백,바디감,탄산,매우강함,약함,약함,매우강함,없음
141,구름을 벗삼아 [10병/12병],단맛,산미,담백,바디감,탄산,강함,약함,약함,중간,중간
142,문희 오미자 가향주,단맛,산미,담백,바디감,탄산,매우강함,중간,약함,매우강함,없음
144,백년향,단맛,산미,담백,바디감,탄산,약함,강함,강함,강함,없음
145,맑은 문희주,단맛,산미,씁쓸,바디감,담백,매우강함,약함,매우약함,매우강함,약함
147,술아 국화주,단맛,산미,씁쓸,바디감,담백,강함,약함,약함,강함,약함
148,우렁이쌀 청주,단맛,산미,씁쓸,바디감,담백,강함,매우약함,중간,강함,강함
151,삼양춘 약주,단맛,산미,씁쓸,바디감,담백,중간,약함,중간,매우약함,중간
153,붉은 원숭이,단맛,산미,담백,바디감,탄산,중간,약함,강함,강함,없음
162,문배술 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,강함,강함
181,병영소주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,중간,중간,강함
182,병영사또,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,중간,강함
188,수제 약주 별바랑,단맛,산미,씁쓸,바디감,담백,강함,중간,약함,중간,중간
189,수제 탁주 바랑,단맛,산미,담백,바디감,탄산,강함,강함,약함,중간,없음
190,고도리 복숭아 와인,단맛,산미,탄닌감,바디감,탄산,강함,강함,약함,약함,없음
193,고도리 화이트 와인 (스위트),단맛,산미,탄닌감,바디감,탄산,중간,중간,없음,중간,없음
194,고흥 유자주 8%,단맛,산미,씁쓸,바디감,담백,강함,중간,매우약함,약함,중간
196,고도리 화이트 청수 와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,없음,약함,없음
197,단상지교,단맛,산미,씁쓸,바디감,담백,강함,중간,약함,강함,강함
198,술공방 9.0 X 3병,단맛,산미,담백,바디감,탄산,약함,강함,강함,매우강함,중간
