page,name,label1,label2,label3,label4,label5,text1,text2,text3,text4,text5
1007,겨울소주 45%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,강함,강함
1008,진맥소주 53%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우강함,약함,매우강함,매우강함,매우강함
1013,이도 32%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
1014,이도 42%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,강함,강함
1015,감사 블루,단맛,산미,씁쓸,바디감,담백,매우약함,중간,강함,중간,중간
1016,미르 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,강함,강함
1018,미르 54%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,매우강함,매우강함,매우강함
1019,문경바람 백자 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,중간,중간
1020,고소리술 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,매우강함,강함
1021,문경바람 오크 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,중간,중간
1037,오메기술 15%,단맛,산미,씁쓸,바디감,담백,중간,약함,매우약함,중간,강함
1043,만월 24%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,중간,중간,중간
1049,금설,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
1050,한청,단맛,산미,씁쓸,바디감,담백,중간,중간,약함,중간,중간
1051,궁중술 왕주,단맛,산미,씁쓸,바디감,담백,중간,중간,약함,중간,중간
1052,대대포 블루 [8병/12병],단맛,산미,담백,바디감,탄산,중간,약함,중간,약함,없음
1054,만월 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,매우강함,매우강함,강함,강함
1055,문배술 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,약함
1057,용봉약주 오향주 X 2병,단맛,산미,씁쓸,바디감,담백,강함,약함,중간,중간,중간
1058,용봉백주 오향주 X 2병,단맛,산미,담백,바디감,탄산,약함,매우약함,중간,강함,없음
1059,멜론서리 X 9병,단맛,산미,탄닌감,바디감,탄산,약함,중간,약함,중간,중간
1060,시나브로 청수 화이트,단맛,산미,탄닌감,바디감,탄산,중간,중간,없음,중간,없음
1061,시나브로 에뚜왈 로제 스파클링 와인,단맛,산미,탄닌감,바디감,탄산,매우강함,중간,약함,약함,강함
1062,시나브로 캠벨 스위트,단맛,산미,탄닌감,바디감,탄산,중간,중간,약함,중간,없음
1063,추사백 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,중간,강함,중간
1064,"동백꽃, 제주",단맛,산미,탄닌감,바디감,탄산,강함,약함,없음,약함,없음
1065,모리,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,약함,약함,중간,약함
