page,total_index,name,label1,label2,label3,label4,label5,text1,text2,text3,text4,text5
60,,그리움,단맛,산미,씁쓸,바디감,담백,매우약함,중간,강함,중간,중간
64,153,면천두견주,단맛,산미,씁쓸,바디감,담백,약함,약함,중간,강함,약함
65,16,감사,단맛,산미,씁쓸,바디감,담백,강함,중간,중간,약함,중간
66,,술샘16,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,강함,약함,중간
67,179,미르25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,중간,중간,중간
70,240,서울의밤,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,중간,약함,중간
72,232,삼양춘탁주,단맛,산미,담백,바디감,탄산,중간,약함,중간,강함,없음
75,284,술취한원숭이,단맛,산미,담백,바디감,탄산,중간,약함,강함,강함,없음
76,520,홍삼명주,단맛,산미,씁쓸,바디감,담백,약함,강함,강함,약함,중간
77,,매실원주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,강함,약함,약함
80,,추사블루스위트,단맛,산미,탄닌감,바디감,탄산,중간,약함,약함,약함,없음
81,448,추사40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,중간
82,452,추사애플와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,매우약함,중간,없음
83,,술예쁘다,단맛,산미,담백,바디감,탄산,강함,중간,약함,중간,없음
84,276,술그리다,단맛,산미,담백,바디감,0,중간,중간,중간,약함,0
85,433,천비향화주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우강함,약함,강함,약함,중간
86,432,천비향생주,단맛,산미,담백,바디감,탄산,강함,약함,매우약함,강함,없음
87,431,천비향약주,단맛,산미,씁쓸,바디감,담백,매우강함,중간,약함,강함,매우약함
88,,택이,단맛,산미,담백,바디감,탄산,강함,중간,중간,중간,없음
89,172,문경바람오크40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,중간,강함
90,171,문경바람백자40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,중간,중간
92,40,고운달백자,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,매우강함,강함,중간
93,270,솔송주,단맛,산미,씁쓸,바디감,담백,약함,약함,약함,약함,강함
94,41,고운달오크,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,매우강함,강함,중간
95,97,담솔,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,약함,약함
96,510,허니문와인,단맛,산미,탄닌감,바디감,탄산,중간,약함,매우약함,약함,없음
97,,오미로제결,단맛,산미,탄닌감,바디감,탄산,중간,중간,약함,중간,중간
98,511,허니비와인,단맛,산미,탄닌감,바디감,탄산,강함,약함,매우약함,약함,없음
100,346,오미로제프리미어,단맛,산미,탄닌감,바디감,탄산,약함,강함,강함,약함,없음
103,280,술아매화주,단맛,산미,씁쓸,바디감,담백,강함,강함,약함,강함,약함
105,282,술아연화주,단맛,산미,씁쓸,바디감,담백,강함,약함,매우약함,중간,약함
106,,우리술오늘약주,단맛,산미,씁쓸,바디감,담백,매우강함,중간,매우약함,중간,매우약함
110,313,애피소드상그리아,단맛,산미,탄닌감,바디감,탄산,중간,중간,약함,중간,약함
111,281,술아순곡주,단맛,산미,씁쓸,바디감,담백,강함,약함,매우약함,중간,약함
112,314,애피소드애플,단맛,산미,탄닌감,바디감,탄산,중간,중간,매우약함,약함,약함
113,493,한스오차드,단맛,산미,탄닌감,바디감,탄산,강함,중간,매우약함,중간,없음
115,,이도22,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,매우약함,중간,중간,중간
116,437,청명주약주17,단맛,산미,씁쓸,바디감,담백,강함,강함,약함,중간,중간
117,353,우도땅콩전통주,단맛,산미,담백,바디감,탄산,중간,중간,중간,중간,없음
118,,세인트하우스딸기와인,단맛,산미,탄닌감,바디감,탄산,약함,중간,중간,중간,없음
119,397,조은술세종바나나,단맛,산미,담백,바디감,탄산,강함,매우약함,중간,약함,없음
120,,세인트하우스가시오가피와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,중간,없음
121,,세인트하우스모과와인,단맛,산미,탄닌감,바디감,탄산,강함,강함,중간,약함,없음
122,,세인트하우스오미자와인,단맛,산미,탄닌감,바디감,탄산,약함,중간,매우강함,약함,없음
123,,세인트하우스아로니아와인,단맛,산미,탄닌감,바디감,탄산,약함,중간,매우강함,약함,없음
124,,괴산세종찰옥수수,단맛,산미,담백,바디감,탄산,중간,약함,중간,강함,약함
125,,고소리술29,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,강함,중간
126,260,세종알밤주,단맛,산미,담백,바디감,탄산,강함,약함,중간,중간,없음
128,471,펀치쌀바나나,단맛,산미,담백,바디감,탄산,강함,약함,약함,약함,중간
129,343,오메기술13,단맛,산미,씁쓸,바디감,담백,중간,약함,약함,중간,중간
130,90,니모메,단맛,산미,씁쓸,바디감,담백,강함,약함,강함,약함,중간
131,220,부안참뽕와인,단맛,산미,탄닌감,바디감,탄산,강함,약함,약함,중간,없음
133,99,담은,단맛,산미,담백,바디감,탄산,강함,매우약함,약함,약함,없음
135,215,복순도가손막걸리,단맛,산미,담백,바디감,탄산,강함,강함,약함,약함,매우강함
138,349,오희,단맛,산미,담백,바디감,탄산,강함,강함,중간,약함,매우강함
139,173,오미자생막걸리,단맛,산미,담백,바디감,탄산,중간,중간,중간,약함,중간
140,178,문희,단맛,산미,담백,바디감,탄산,매우강함,약함,약함,매우강함,없음
141,47,구름을벗삼아,단맛,산미,담백,바디감,탄산,강함,약함,약함,중간,중간
142,177,문희오미자가향주,단맛,산미,담백,바디감,탄산,매우강함,중간,약함,매우강함,없음
144,194,백년향,단맛,산미,담백,바디감,탄산,약함,강함,강함,강함,없음
145,143,맑은문희주,단맛,산미,씁쓸,바디감,담백,매우강함,약함,매우약함,매우강함,약함
147,278,술아국화주,단맛,산미,씁쓸,바디감,담백,강함,약함,약함,강함,약함
148,,우렁이쌀청주,단맛,산미,씁쓸,바디감,담백,강함,매우약함,중간,강함,강함
151,231,삼양춘약주,단맛,산미,씁쓸,바디감,담백,중간,약함,중간,매우약함,중간
153,223,붉은원숭이,단맛,산미,담백,바디감,탄산,중간,약함,강함,강함,없음
162,176,문배술40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,강함,강함
