,produc_name,alcholicity,capacity,price,keywords
0,애플 상그리아 6.3도 750ml+케이스,레드,부드러움,22900,"전통주선물,연말선물,충주사과,이벤트,파티,잔치,과실주병,과실주선물,크리스마스,연인커플선물,"
1,진로 토닉워터,페트병,"상품정보 제공고시제품명상품상세참조식품의 유형상품상세참조생산자상품상세참조소재지상품상세참조제조연월일상품상세참조유통기한 또는 품질유지기한상품상세참조포장단위별 내용물의 용량(중량), 수량상품상세참조포장단위별 수량상품상세참조원재료명 및 함량상품상세참조영양성분상품상세참조유전자변형식품에 해당하는 경우의 표시해당사항 없음소비자안전을 위한 주의사항지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출생 위험을 높입니다. 19세 미만 판매금지수입식품에 해당하는 경우해당사항 없음",800,"하이볼,에이드,토닉워터,토닉워터300ml,청량감,먹기편한,상큼함,집에서즐기는,30대,청량,"
2,오미자 생막걸리,6.5%,750ml,2800,"전통주선물,새콤달콤한,핑크빛컬러감,수제,홈파티,이색적인,혼술,오미자주,산뜻한,친구선물,"
3,민속주왕주 13도 700ml 선물세트,13%,1400ml,36500,"전통주선물,명절선물,궁중,술잔세트,깊은맛,외국인선물,가족모임,약주잔,국화,"
4,김보성의 의리남 소주 16.5도 360ml,16.5%,360ml,14800,"소주잔,전통주선물,친구선물,외국인선물,재미있는,부드러운,깔끔한,어른선물,명절선물,파티,"
5,이강주 선물세트 29호 25도,25%,1000ml,62000,"전통주선물,외국인선물,어른선물,명절선물,호리병,부모님선물,모임선물,전주명물,"
6,맑은내일 유자,7%,735ml,20000,"전통주선물,집들이선물,유자,시트러스,우리쌀로만든,달달한,취향저격,홈캉스,상큼한,외국인선물,"
7,추성주 흑자 도자기 선물세트,25%,400ml,70000,"전통주선물,명절선물세트,프리미엄선물세트,어른선물,담양죽순,깔끔한,우리쌀로만든,도자기잔세트,한약재,약주잔,"
8,특2호 선물세트,40%,1100ml,65000,"전통주선물,외국인선물,어른선물,도자기잔세트,명절선물세트,추석선물세트,지인선물,깔끔한,술잔세트,깊은맛,"
9,문배술 특1호세트 40도 400ml,40%,800ml,53500,"전통주선물,외국인선물,어른선물,명절선물세트,깊은맛,추석선물세트,술잔,도자기잔세트,무첨가,술잔세트,"
10,양반안동소주 선물세트 연꽃 흑자 45도 600ml+전용잔 1개,45%,600ml,32000,"도자기잔세트,명절선물세트,전통주선물,추석선물세트,어른선물,가족모임,술잔세트,숙성된,명주,안동,"
11,우희열 명인 한산소곡주 어주 선물세트 18도 700ml  잔 2개,18%,700ml,41000,"명인,우리쌀로만든,무첨가,전통주선물,외국인선물,명절선물세트,추석선물세트,설선물세트,"
12,안동소주 일품 특2호 선물세트  40도 400ml x 2병,40%,800ml,69000,"전통주선물,어른선물,명절선물세트,추석선물세트,설선물세트,도자기술잔세트,외국인선물,우리쌀로만든,"
13,문배술 헤리티지 세트 25도 375ml,25%,750ml,30580,"전통주선물,선물하기좋은,추석선물세트,설선물세트,우리쌀로만든,명절선물,깔끔한,깊은맛,술잔세트,"
14,한주양조 서각 25도 400ml + 잔 2EA + 쇼핑백,25%,400ml,29000,"전통주선물,명절선물세트,추석선물세트,우리쌀로만든,어른선물,외국인선물,명주,안성,암반수,무첨가물,"
15,우리술상회 3본입 손잡이 케이스 선물상자,손잡이,상품상세참조,4500,"선물상자소품,선물케이스,손잡이케이스,전통주선물,외국인선물,마음을전하는,명절선물,"
16,영덕주조 블링블링 주간감성 노을별 15도 360ml,15%,360ml,25000,"감성적인,영롱한,블링블링한,전통주선물,명절선물,외국인선물,혼술,원샷,회식,영덕,"
17,영덕주조 블링블링 주간감성 바다별 15도 360ml,15%,360ml,25000,"감성적인,푸른바다,블링블링한,전통주선물,명절선물,외국인선물,혼술,원샷,회식,영덕,"
18,꿀에는 열매가 한가득 모음 오늘도수고했어오미자 도원결의15호랑이 미상25 잭스허니,15~25%,350~360ml,28800,"혼술,전통주선물,명절선물세트,과일주유리병,꿀선물세트,외국인선물,모음,꿀맛,"
19,중원당 청명주 백도자기세트,17%,500ml,40000,"전통주선물,명절선물,추석선물세트,약주잔,차례상,무첨가물,은은한향,감칠맛,담백한,우리쌀로만든,"
20,한주양주 매화 35도 700ml,35%,700ml,42000,"전통주선물,외국인선물,명절선물,어른선물,매화,우리쌀로만든,부드러운,깊은맛,명주,매화도자기,"
21,꿀처럼 끈끈한 우정 모음 의리남 동해소주 밀담 잭스허니,16.5~17.5%,360ml,12900,"깔끔한,꿀선물세트,술자리,전통주선물,꿀아카시아,숙취해소,외국인선물,명절선물,꿀맛,"
22,전통주를 추석을 감싸드리는 선물 모음 추성주주간감성 375ml보자기,25%,350ml,27000,"명절선물세트,보자기포장,선물포장용품,전통주선물,차례상,정성가득,외국인선물,특별선물,추석선물,"
