,product_name,score,customerID,comments
0,진로 토닉워터,5,jeng***,싸게 잘 사서 기쁘네요
1,오미자 생막걸리,4,kesu*****,오미자를 좋아해서 주문했어요. 색깔은 좋은데 맛은 맛없지도 맛있지도 않은 보통맛. 그래도 다시 주문할지도. 사장님께 조언 한마디 할게요. 오미자 열매를 포도알같이 톡 터질때 넣으시면 2.4% 가 아니라 1/10만 넣어도 색상이 세계 최고가 될거에요. 오미자 소주를 담가봐서 알아요.더보기
2,오미자 생막걸리,4,hika*******,잘마셨습니다 포장 꼼꼼햐서 좋아요
3,김보성의 의리남 소주 16.5도 360ml,5,kool*****,일단..병이 멋집니다. ㅋㅋㅋ공병도 왠지 버리기 싫어 나뒀습니다. 2번째 구매인대 이번엔 잔까지 같이 시켜서 마시니 더욱 맛나네요. 도수도 적당해서 여성분들 마시기도 좋을 것 같네요. 강추!
4,김보성의 의리남 소주 16.5도 360ml,5,ll12***,포장도 엄청 꼼꼼하게 되어와서 깨짐 걱정이 하나도 안갈정도였어요! 소주잔때문에 구매하게되었는데 소주맛도 괜찮았어요:)
5,김보성의 의리남 소주 16.5도 360ml,5,runa****,포장 잘 되어있고 맛도 좋습니다 항상 만족합니다 감사합니다
6,김보성의 의리남 소주 16.5도 360ml,5,rice*****,배송빠르구 엄청 꼼꼼튼튼하게 포장해주셔서 감사합니다~~ 자주애용할게용^^
7,김보성의 의리남 소주 16.5도 360ml,5,schi*******,어서 맛난 안주와 즐기고 싶어요 😆
8,김보성의 의리남 소주 16.5도 360ml,5,wcn0****,지인 선물용으로 구매했어요!
9,김보성의 의리남 소주 16.5도 360ml,5,leey******,빠른배송 꼼꼼한포장 모두만족합니다
10,김보성의 의리남 소주 16.5도 360ml,4,ek****,재미 있어서 구입했어요
11,김보성의 의리남 소주 16.5도 360ml,5,wogn*******,술 맛 좋네요 감사합니다
12,김보성의 의리남 소주 16.5도 360ml,5,tesl****,빠르게 잘받았습니다.^^
13,김보성의 의리남 소주 16.5도 360ml,5,migi****,가격은 비싼데 포장이랑 배송은 빨라서좋네요..
14,김보성의 의리남 소주 16.5도 360ml,5,diba******,항상잘먹고있습니다..
15,김보성의 의리남 소주 16.5도 360ml,5,diba******,재구매매번잘먹고있어요...
